[13:42:24] [INFO] received Windows console close event; shutting log-core down
[13:47:31] [INFO] received Windows console close event; shutting log-core down
[13:55:14] [INFO] received Windows console close event; shutting log-core down
[14:01:04] [INFO] received Windows console close event; shutting log-core down
[14:15:24] [INFO] received Windows console close event; shutting log-core down
[14:19:16] [INFO] received Windows console close event; shutting log-core down
[14:27:15] [INFO] received Windows console close event; shutting log-core down
[14:30:22] [INFO] received Windows console close event; shutting log-core down
[14:30:33] [INFO] received Windows console close event; shutting log-core down
[14:49:46] [INFO] received Windows console close event; shutting log-core down
[14:54:04] [INFO] received Windows console close event; shutting log-core down
[14:57:30] [INFO] received Windows console close event; shutting log-core down
[18:01:34] [INFO] received Windows console close event; shutting log-core down
[18:29:50] [INFO] received Windows console close event; shutting log-core down
[19:15:41] [INFO] received Windows console close event; shutting log-core down
[19:50:38] [INFO] received Windows console close event; shutting log-core down
[21:29:58] [INFO] received Windows console close event; shutting log-core down
[00:16:04] [INFO] received Windows console close event; shutting log-core down
[00:17:06] [INFO] received Windows console close event; shutting log-core down
[00:22:08] [INFO] received Windows console close event; shutting log-core down
[00:29:05] [INFO] received Windows console close event; shutting log-core down
